place_name,property_type,count,mean,std,min,25%,50%,75%,max
Córdoba,apartment,4758.0,143553.68940731414,233709.1030183483,5047.53,62757.63,83256.215,115000.0,3200000.0
Córdoba,house,1827.0,309437.21482758643,450797.04541854275,0.0,100950.61,166568.52,300000.0,5900000.0
Córdoba,store,214.0,260951.46714953266,493890.2821718935,10095.06,57415.88,119500.0,228750.0,4500000.0
Despeñaderos,apartment,0.0,,,,,,,
Despeñaderos,house,2.0,95887.86,30954.108463323573,74000.0,84943.93,95887.86,106831.79000000001,117775.72
El Manzano,house,2.0,43464.84,9914.287610474092,36454.38,39959.61,43464.84,46970.07000000001,50475.3
Embalse,house,0.0,,,,,,,
Falda del Carmen,house,0.0,,,,,,,
General Cabrera,house,1.0,117775.72,,117775.72,117775.72,117775.72,117775.72,117775.72
Hernando,apartment,0.0,,,,,,,
Hernando,house,1.0,230000.0,,230000.0,230000.0,230000.0,230000.0,230000.0
Huerta Grande,apartment,0.0,,,,,,,
Huerta Grande,house,8.0,67122.16749999998,41816.2853516497,27481.0,41361.7075,55803.255,73609.82,150000.0
Jesús María,house,15.0,178483.54933333336,104688.41973939992,52157.81,96744.33499999999,112167.35,260000.0,370000.0
Jesús María,store,2.0,128041.83499999999,101764.21286648096,56083.67,92062.7525,128041.83499999999,164020.9175,200000.0
La Calera,PH,13.0,373968.6230769231,581250.3099837381,36454.38,63094.13,70104.59,150000.0,1600000.0
La Calera,apartment,26.0,108181.62192307692,185166.24203611494,33089.36,43464.8425,51877.395000000004,81321.325,990000.0
La Calera,house,62.0,184952.77612903228,250119.1822249959,25237.65,84125.51,112167.35,193750.0,1700000.0
La Calera,store,4.0,37295.8675,22367.358255060542,14750.0,20512.6025,36216.735,53000.0,62000.0
La Cumbre,house,3.0,296666.6666666667,341955.16275285755,70000.0,100000.0,130000.0,410000.0,690000.0
La Cumbrecita,house,1.0,300000.0,,300000.0,300000.0,300000.0,300000.0,300000.0
La Falda,apartment,1.0,48000.0,,48000.0,48000.0,48000.0,48000.0,48000.0
La Falda,house,6.0,159992.25333333333,125621.59426446038,67300.41,79637.855,87067.985,240283.9925,350000.0
La Falda,store,0.0,,,,,,,
La Granja,house,16.0,208343.041875,100955.2773899877,36454.38,120000.0,220000.0,300000.0,360000.0
La Paz,house,4.0,216604.595,185033.56951408242,68000.0,68000.0,174209.19,322813.78500000003,450000.0
La Serranita,house,0.0,,,,,,,
Laboulaye,house,2.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0
Laguna Larga,house,0.0,,,,,,,
Las Calles,house,3.0,2040000.0,1316358.6137523467,520000.0,1660000.0,2800000.0,2800000.0,2800000.0
Las Palmas,apartment,1.0,36454.38,,36454.38,36454.38,36454.38,36454.38,36454.38
Las Palmas,house,1.0,75712.96,,75712.96,75712.96,75712.96,75712.96,75712.96
Las Tapias,house,0.0,,,,,,,
Las Varillas,house,0.0,,,,,,,
Los Cocos,house,3.0,103304.82333333332,46237.40230369385,49914.47,89957.235,130000.0,130000.0,130000.0
Los Hornillos,house,2.0,147500.0,38890.87296526011,120000.0,133750.0,147500.0,161250.0,175000.0
Los Molinos,apartment,1.0,135000.0,,135000.0,135000.0,135000.0,135000.0,135000.0
Los Molinos,house,1.0,345000.0,,345000.0,345000.0,345000.0,345000.0,345000.0
Los Pozos,house,0.0,,,,,,,
Los Reartes,apartment,0.0,,,,,,,
Los Reartes,house,10.0,215625.10300000003,169345.32721908635,45000.0,121750.0,155000.0,312062.7575,580000.0
Los Reartes,store,1.0,19629.28,,19629.28,19629.28,19629.28,19629.28,19629.28
Luque,apartment,0.0,,,,,,,
Luque,house,9.0,212555.55555555556,105214.19950642489,135000.0,160000.0,190000.0,220000.0,480000.0
Malagueño,apartment,1.0,84125.51,,84125.51,84125.51,84125.51,84125.51,84125.51
Malagueño,house,6.0,157968.97333333333,121546.06359996981,38136.9,70104.59,124786.175,224866.94,350000.0
Malagueño,store,1.0,16825.1,,16825.1,16825.1,16825.1,16825.1,16825.1
Malvinas Argentinas,house,3.0,38041.83666666666,13202.97302845966,30000.0,30423.010000000002,30846.02,42062.755,53279.49
Malvinas Argentinas,store,0.0,,,,,,,
Manfredi,house,2.0,19629.28,0.0,19629.28,19629.28,19629.28,19629.28,19629.28
Marull,house,0.0,,,,,,,
Mayu Sumaj,house,2.0,133582.91999999998,48673.1013132798,99165.84,116374.38,133582.91999999998,150791.46,168000.0
Mendiolaza,apartment,1.0,30846.02,,30846.02,30846.02,30846.02,30846.02,30846.02
Mendiolaza,house,52.0,317566.0646153846,449232.4584474223,44866.94,125908.52,150152.125,301000.0,2300000.0
Mi Granja,house,1.0,83564.67,,83564.67,83564.67,83564.67,83564.67,83564.67
Mina Clavero,house,16.0,194089.239375,249879.78479551623,7851.71,61250.0,95779.48999999999,175000.0,950000.0
Miramar,apartment,0.0,,,,,,,
Miramar,house,0.0,,,,,,,
Miramar,store,0.0,,,,,,,
Monte Cristo,house,2.0,819629.285,1103610.8488317893,39258.57,429443.9275,819629.285,1209814.6425,1600000.0
Nono,house,4.0,265000.0,219469.05628508696,110000.0,117500.0,185000.0,332500.0,580000.0
Obispo Trejo,house,1.0,28041.83,,28041.83,28041.83,28041.83,28041.83,28041.83
Oliva,house,5.0,765200.0,642579.7226803846,37000.0,89000.0,1200000.0,1200000.0,1300000.0
Oncativo,apartment,2.0,90515.685,98265.66064520429,21031.37,55773.5275,90515.685,125257.8425,160000.0
Oncativo,house,15.0,74730.31266666666,32152.573970958812,30846.02,51237.65,81321.33,89733.88,140209.19
Pilar,house,0.0,,,,,,,
Potrero de Garay,house,8.0,192574.87,122199.6397223602,61692.04,89593.67,190000.0,235000.0,440000.0
Punilla,PH,11.0,94882.91545454545,54992.13860139181,16825.1,58887.854999999996,80000.0,136000.0,200000.0
Punilla,apartment,190.0,102268.6771578948,91229.44651629629,10655.89,71674.9325,89453.45999999999,110000.0,1000000.0
Punilla,house,422.0,400191.91170616075,1973965.4258218023,5776.61,84125.51,135000.0,240000.0,25000000.0
Punilla,store,15.0,576060.4653333334,747274.86115343,19629.28,89201.08,300000.0,685000.0,2500000.0
Río Ceballos,PH,0.0,,,,,,,
Río Ceballos,apartment,0.0,,,,,,,
Río Ceballos,house,29.0,427621.044137931,603888.7518091546,18788.03,100000.0,165000.0,350000.0,2400000.0
Río Cuarto,apartment,26.0,139046.52846153846,205412.34666159263,40000.0,57065.135,72347.935,115041.63749999998,850000.0
Río Cuarto,house,17.0,136707.37647058826,71818.65561193493,70104.59,84125.51,117775.72,159838.47,360000.0
Río Cuarto,store,0.0,,,,,,,
Río Primero,house,1.0,131796.64,,131796.64,131796.64,131796.64,131796.64,131796.64
Río Primero,store,1.0,300000.0,,300000.0,300000.0,300000.0,300000.0,300000.0
Río Segundo,house,1.0,56083.67,,56083.67,56083.67,56083.67,56083.67,56083.67
Río Tercero,apartment,1.0,75712.96,,75712.96,75712.96,75712.96,75712.96,75712.96
Río Tercero,house,9.0,157236.8111111111,84071.06727532107,14020.91,95342.25,168251.03,195500.0,300000.0
